"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
201,"NCT04459702","A Study of Combination Therapies to Treat COVID-19 Infection",,"Not yet recruiting","No Results Available","COVID|COVID-19|Corona Virus Infection|Coronavirus Infection|Coronavirus Sars-Associated as Cause of Disease Classified Elsewhere|Coronavirus-19|SARS-CoV 2|SARS Pneumonia","Drug: hydroxychloroquine|Drug: Azithromycin|Drug: Ritonavir|Drug: Lopinavir","Efficacy of Treatment by Reduced Symptoms NEWS (National Early Warning System) scores|Efficacy of Treatment by Time to Non-Infectivity|Safety of Dual Therapy as Measured by Symptoms rated on the NEWS (National Early Warning System) sores|Safety of Quadruple Therapy as Measured by Symptoms rated on the NEWS (National Early Warning System) scores.|Safety of Dual Therapy as Measured by Complete Blood Count|Safety of Quadruple Therapy as Measured by Complete Blood Count|Safety of Dual Therapy as Measured by Metabolic Panel -Albumin|Safety of Quadruple Therapy as Measured by Metabolic Panel - Albumin|Safety of Quadruple Therapy as Measured by Metabolic Panel - A/G Ratio|Safety of Dual Therapy as Measured by Metabolic Panel A/G Ratio|Safety of Quadruple Therapy as Measured by Metabolic Panel - Alkaline Phosphatase|Safety of Dual Therapy as Measured by Metabolic Panel Alkaline Phosphatase|Safety of Dual Therapy as Measured by Metabolic Panel - AST|Safety of Quadruple Therapy as Measured by Metabolic Panel - AST|Safety of Quadruple Therapy as Measured by Metabolic Panel - ALT|Safety of Dual Therapy as Measured by Metabolic Panel ALT|Safety of Dual Therapy as Measured by Metabolic Panel BUN/Creatinine Ratio|Safety of Quadruple Therapy as Measured by Metabolic Panel BUN/Creatinine Ratio|Safety of Quadruple Therapy as Measured by Metabolic Panel - BUN|Safety of Dual Therapy as Measured by Metabolic Panel - BUN|Safety of Dual Therapy as Measured by Metabolic Panel - Calcium|Safety of Quadruple Therapy as Measured by Metabolic Panel - Calcium|Safety of Quadruple Therapy as Measured by Metabolic Panel - Carbon Dioxide|Safety of Dual Therapy as Measured by Metabolic Panel - Carbon Dioxide|Safety of Dual Therapy as Measured by Metabolic Panel - Chloride|Safety of Quadruple Therapy as Measured by Metabolic Panel - Chloride|Safety of Quadruple Therapy as Measured by Metabolic Panel - Creatinine|Safety of Dual Therapy as Measured by Metabolic Panel - Creatinine|Safety of Dual Therapy as Measured by Metabolic Panel - Globulin|Safety of Quadruple Therapy as Measured by Metabolic Panel - Globulin|Safety of Quadruple Therapy as Measured by Metabolic Panel - Glucose|Safety of Dual Therapy as Measured by Metabolic Panel - Glucose|Safety of Dual Therapy as Measured by Metabolic Panel - Potassium|Safety of Quadruple Therapy as Measured by Metabolic Panel - Potassium|Safety of Quadruple Therapy as Measured by Metabolic Panel - Total Bilirubin|Safety of Dual Therapy as Measured by Metabolic Panel - Total Bilirubin|Safety of Dual Therapy as Measured by Metabolic Panel - Total Protein|Safety of Quadruple Therapy as Measured by Metabolic Panel - Total Protein|Safety of Dual Therapy as Measured by Treatment Related SAE|Safety of Quadruple Therapy as Measured by Treatment Related SAE","ProgenaBiome|Big Corona Ltd.","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","PRG-043","July 2020","July 2021","December 2021","July 7, 2020",,"July 7, 2020","ProgenaBiome, Ventura, California, United States",,"https://ClinicalTrials.gov/show/NCT04459702"
202,"NCT04395716","A Study of ResCure™ to Treat COVID-19 Infection",,"Not yet recruiting","No Results Available","COVID|Covid-19|Corona Virus Infection|Sars-CoV2|Coronavirus-19|SARS Pneumonia|SARS-Associated Coronavirus as Cause of Disease Classified Elsewhere","Biological: ResCure™","The rate of recovery of mild or moderate COVID-19 in patients using ResCure™|Reduction or progression of symptomatic days|Assess the safety of ResCure™ via pulse|Assess the safety of ResCure™ via oxygen saturation|Assess the safety of ResCure™ via EKG|Assess Tolerability of ResCure™","ProgenaBiome|Rinati Skin, LLC","All","18 Years and older   (Adult, Older Adult)","Phase 1","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PRG-048","July 2020","June 2021","November 2021","May 20, 2020",,"July 10, 2020","ProgenaBiome, Ventura, California, United States",,"https://ClinicalTrials.gov/show/NCT04395716"
203,"NCT04517396","FEnofibRate as a Metabolic INtervention for COVID-19","FERMIN","Enrolling by invitation","No Results Available","Covid19","Other: Fenofibrate|Other: Placebo|Other: Usual care","Hierarchical composite endpoint|Number of days alive, out of the intensive care unit, free of mechanical ventilation/extracorporeal membrane oxygenation, or maximal available respiratory support in the 30 days following randomization|Seven-category ordinal scale","University of Pennsylvania|University of Arizona","All","18 Years and older   (Adult, Older Adult)","Not Applicable","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","843729","August 18, 2020","August 31, 2021","August 31, 2021","August 18, 2020",,"August 27, 2020","University of Pennsylvania Health System, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04517396"
204,"NCT04335084","A Study of Hydroxychloroquine, Vitamin C, Vitamin D, and Zinc for the Prevention of COVID-19 Infection","HELPCOVID-19","Recruiting","No Results Available","COVID-19|Coronavirus Infection|Sars-CoV2|Corona Virus Infection|COVID|Coronavirus|Coronavirus-19|Coronavirus 19","Drug: Hydroxychloroquine|Dietary Supplement: Vitamin C|Dietary Supplement: Vitamin D|Dietary Supplement: Zinc","Prevention of COVID-19 symptoms as recorded in a daily diary|Safety as determined by presence or absence of Adverse Events and Serious Adverse Events","ProgenaBiome|DSCS CRO","All","18 Years and older   (Adult, Older Adult)","Phase 2","600","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","PRG-042","June 22, 2020","June 2021","September 2021","April 6, 2020",,"July 20, 2020","ProgenaBiome, Ventura, California, United States",,"https://ClinicalTrials.gov/show/NCT04335084"
205,"NCT04397510","Nebulized Heparin for the Treatment of COVID-19 Induced Lung Injury",,"Enrolling by invitation","No Results Available","Covid-19|ARDS, Human|Acute Lung Injury","Drug: Heparin|Drug: 0.9% Sodium-chloride","Mean daily PaO2 to FiO2 ratio|Duration of mechanical ventilation|ICU length of stay|Mortality Rate|Incidence of adverse drug events","Frederick Health","All","18 Years and older   (Adult, Older Adult)","Phase 4","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","FHHep518","June 1, 2020","December 31, 2020","December 31, 2020","May 21, 2020",,"August 18, 2020","Frederick Health Hospital, Frederick, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04397510"
206,"NCT04381013","Emergency Ventilator Splitting Between Two or More Patients (COVID-19)",,"Not yet recruiting","No Results Available","COVID-19","Device: Emergency Ventilator Splitter","Completion of 1-minute test|Completion of 24-hour test","Stanford University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","4","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Device Feasibility","57573","December 2020","January 2021","January 2021","May 8, 2020",,"October 8, 2020","Stanford University, Stanford, California, United States",,"https://ClinicalTrials.gov/show/NCT04381013"
207,"NCT04458948","Open Label Non-comparative Trial of the Combination of Hydroxychloroquine and Azithromycin in the Treatment of Hospitalized Patients",,"Active, not recruiting","No Results Available","COVID-19","Drug: Hydroxychloroquine|Drug: Azithromycin","Duration of viral shedding|Evaluation of Fatality Rate|Evaluation of Clinical Response|Evaluation of Length of Hospital Stay","University of New Mexico","All","18 Years and older   (Adult, Older Adult)","Phase 2","10000","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-156","March 24, 2020","March 24, 2021","March 24, 2025","July 7, 2020",,"July 7, 2020","University of New Mexico Health Sciences Center, Albuquerque, New Mexico, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/48/NCT04458948/ICF_000.pdf","https://ClinicalTrials.gov/show/NCT04458948"
208,"NCT04344561","Incline Positioning in COVID-19 Patients for Improvement in Oxygen Saturation","UPSAT","Recruiting","No Results Available","COVID|Hypoxic Respiratory Failure","Other: Postural Positioning","Incidence of Mechanical Ventilation|Number of participants with supplemental oxygen requirements|Mean oxyhemoglobin saturation|Mean Nocturnal Oxyhemoglobin Saturation|Heart Rate|Respiratory Rate|Percentage of time in the assigned position","Johns Hopkins University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","70","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00246834","May 25, 2020","May 1, 2021","May 1, 2021","April 14, 2020",,"June 24, 2020","Johns Hopkins Bayview Hospital, Baltimore, Maryland, United States|Johns Hopkins Hospital, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04344561"
209,"NCT04570397","Ravulizumab and COVID-19",,"Not yet recruiting","No Results Available","Covid19|Thrombotic Microangiopathies|Acute Kidney Injury","Drug: Ravulizumab","Assess the efficacy of ravulizumab to ameliorate SARS-CoV-2 (COVID-19)-induced acute kidney injury manifesting as thrombotic microangiopathy.|Evaluation of pharmacokinetics of ravulizumab in participants with COVID-19","Brigham and Women's Hospital","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 3","32","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","092420","November 2020","May 2021","November 2021","September 30, 2020",,"September 30, 2020","Brigham and Women's Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04570397"
210,"NCT04338009","Elimination or Prolongation of ACE Inhibitors and ARB in Coronavirus Disease 2019","REPLACECOVID","Enrolling by invitation","No Results Available","COVID-19","Other: Discontinuation of ARB/ACEI|Other: Continuation of ARB/ACEI","Hierarchical composite endpoint|All-Cause Death|Length of Hospital Stay|Length of ICU Stay, invasive mechanical ventilation or extracorporeal membrane oxygenation|AUC SOFA","University of Pennsylvania|Jordana B. Cohen, MD, MSCE|Thomas C. Hanff, MD, MPH|Vicente Corrales-Medina, MD, PhD|James Brian Byrd, MD|Roberto Viau Colindres","All","18 Years and older   (Adult, Older Adult)","Not Applicable","152","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","842810","March 31, 2020","December 31, 2020","December 31, 2020","April 8, 2020",,"April 24, 2020","University of Pennsylvania Health System, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04338009"
211,"NCT04498442","A Study on Prevalence, Protection and Recovery From COVID-19 in Seasoned Yoga Practitioners in Comparison to Age and Gender Matched Controls",,"Recruiting","No Results Available","Covid19|Stress|Anxiety Depression","Behavioral: Simha Kriya|Behavioral: Reading a Book","Change in Perceived Stress Levels|Changes in Resilience Levels|Changes in Covid-19 Prevalence|Changes in self-reported duration of fever and respiratory symptoms in COVID-19 positive participants|Changes in self-reported readiness to return to work in COVID-19 positive participants","Beth Israel Deaconess Medical Center","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","30000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","2020P000433","May 22, 2020","October 31, 2020","December 31, 2020","August 4, 2020",,"October 8, 2020","Beth Israel Deaconess Medical Centre, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04498442"
212,"NCT04354155","COVID-19 Anticoagulation in Children - Thromboprophlaxis (COVAC-TP) Trial",,"Recruiting","No Results Available","Infection Viral|Thromboses, Venous|COVID-19","Drug: Enoxaparin Prefilled Syringe [Lovenox]","Safety of in-hospital thromboprophylaxis|Median twice-daily enoxaparin dose","Neil Goldenberg|Johns Hopkins All Children's Hospital","All","up to 18 Years   (Child, Adult)","Phase 2","38","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","COVAC-TP","June 2, 2020","September 2022","October 15, 2022","April 21, 2020",,"July 27, 2020","Johns Hopkins All Children's Hospital, Saint Petersburg, Florida, United States",,"https://ClinicalTrials.gov/show/NCT04354155"
213,"NCT04495842","The Effect of Aromatherapy on COVID-19-induced Anxiety",,"Recruiting","No Results Available","Stress|Covid19|Anxiety","Other: Essential Oil Blend|Other: Control Blend","Change from baseline in state anxiety on the State portion of the State Trait Anxiety Scale (STAI-S) at 15 minutes","Franklin School of Integrative Health Sciences","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","65","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Supportive Care","20-7-5600","October 1, 2020","March 31, 2021","June 30, 2021","August 3, 2020",,"October 19, 2020","Franklin School of Integrative Health Sciences, Franklin, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT04495842"
